Agency,Mode,Date,Week Number,Current,Baseline,Lowest
New York City MTA Rail,Transit,10/03/2020,41,995899,3236066,140455
New York City MTA Rail,Transit,10/04/2020,41,852411,2755182,140455
New York City MTA Rail,Transit,10/05/2020,41,1636314,5847307,140455
New York City MTA Rail,Transit,10/06/2020,41,1984511,5988704,140455
New York City MTA Rail,Transit,10/07/2020,41,1738352,5154704,140455
New York City MTA Rail,Transit,10/08/2020,41,2186717,6227273,140455
New York City MTA Rail,Transit,10/09/2020,41,1741426,6111806,140455
WMATA Bus and Rail,Transit,08/24/2020,35,238000,998984,51000
WMATA Bus and Rail,Transit,08/25/2020,35,240000,1042308,51000
WMATA Bus and Rail,Transit,08/26/2020,35,244000,1048984,51000
WMATA Bus and Rail,Transit,08/27/2020,35,247000,1032885,51000
WMATA Bus and Rail,Transit,08/28/2020,35,291000,952222,51000
WMATA Bus and Rail,Transit,08/29/2020,35,157000,484259,51000
WMATA Bus and Rail,Transit,10/05/2020,41,270000,1078388,51000
WMATA Bus and Rail,Transit,10/06/2020,41,270000,1148810,51000
WMATA Bus and Rail,Transit,10/07/2020,41,273000,1117399,51000
WMATA Bus and Rail,Transit,10/08/2020,41,279000,1121109,51000
WMATA Bus and Rail,Transit,10/09/2020,41,276000,1042236,51000
WMATA Bus and Rail,Transit,10/10/2020,41,187000,520263,51000
WMATA Bus and Rail,Transit,10/11/2020,41,127000,394737,51000
WMATA Bus and Rail,Transit,08/30/2020,35,129000,368077,51000
New York City MTA Rail,Transit,08/22/2020,35,1082606,3488113,140455
New York City MTA Rail,Transit,08/23/2020,35,675419,2545218,140455
New York City MTA Rail,Transit,08/24/2020,35,1483556,5029782,140455
New York City MTA Rail,Transit,08/25/2020,35,1400331,5437461,140455
New York City MTA Rail,Transit,08/26/2020,35,1388488,5479713,140455
New York City MTA Rail,Transit,08/27/2020,35,1363216,5528832,140455
New York City MTA Rail,Transit,08/28/2020,35,1357225,5109696,140455
New York City MTA Rail,Transit,08/29/2020,36,669690,2591019,140455
New York City MTA Rail,Transit,08/30/2020,36,735243,2761534,140455
New York City MTA Rail,Transit,08/31/2020,36,1974168,2388754,140455
New York City MTA Rail,Transit,09/01/2020,36,1620035,5422738,140455
New York City MTA Rail,Transit,09/02/2020,36,1473490,5769264,140455
New York City MTA Rail,Transit,09/03/2020,36,1758454,5999663,140455
New York City MTA Rail,Transit,09/04/2020,36,1675506,5892265,140455
New York City MTA Rail,Transit,09/05/2020,37,989391,2858917,140455
New York City MTA Rail,Transit,09/06/2020,37,817391,3205860,140455
New York City MTA Rail,Transit,09/07/2020,37,986336,5817832,140455
New York City MTA Rail,Transit,09/08/2020,37,2049596,6128973,140455
New York City MTA Rail,Transit,09/09/2020,37,2878570,6197334,140455
New York City MTA Rail,Transit,09/10/2020,37,1535418,6217922,140455
New York City MTA Rail,Transit,09/11/2020,37,1628880,6072583,140455
San Francisco BART Rail,Transit,10/05/2020,41,50086,425900,7582
San Francisco BART Rail,Transit,10/06/2020,41,52126,425900,7582
San Francisco BART Rail,Transit,10/07/2020,41,52639,425900,7582
San Francisco BART Rail,Transit,10/08/2020,41,52685,425900,7582
San Francisco BART Rail,Transit,10/09/2020,41,52860,425900,7582
San Francisco BART Rail,Transit,10/10/2020,41,29692,161700,7582
San Francisco BART Rail,Transit,10/11/2020,41,21871,111200,7582
New York City MTA Rail,Transit,09/12/2020,38,927077,2785261,140455
